captured_at,chart,period_start,period_end,weeks_on_chart,rank,last_week_rank,is_new_entry,song_no,title,artist,release_date
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,1,-,1,0,58828,看著我的眼睛說,張遠,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,2,-,2,0,56384,離開我的依賴,王艷薇,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,3,-,3,0,58707,跳樓機,LBI利比(時柏塵),
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,4,-,4,0,67060,擱淺,周杰倫,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,5,↑,7,0,42589,我懷念的,孫燕姿,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,6,↓,5,0,59145,太陽與地球,盧廣仲,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,7,↓,6,0,66606,淚橋,伍佰,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,8,↑,10,0,58745,數到十,曾沛慈,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,9,-,9,0,40268,愛錯,王力宏,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,10,↓,8,0,45744,天后,陳勢安,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,11,-,11,0,59424,幸福在歌唱,A-Lin,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,12,-,12,0,61536,痴心絕對,李聖傑,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,13,-,13,0,54167,摯友,A-Lin,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,14,↑,15,0,50616,連名帶姓,張惠妹(aMEI),
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,15,↑,16,0,66844,倒帶,蔡依林,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,16,↓,14,0,53920,如果可以,韋禮安,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,17,-,17,0,47284,一個人想著一個人,曾沛慈,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,18,-,18,0,55545,字字句句,盧盧快閉嘴,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,19,-,19,0,52161,慢冷,梁靜茹,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,20,↑,23,0,48102,特別的人,方大同,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,21,↓,20,0,66834,我是真的愛上你,王傑,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,22,-,22,0,54427,從前說,小阿七,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,23,↑,26,0,53613,我很好騙,動力火車,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,24,↑,28,0,50122,家家酒,家家,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,25,↓,24,0,61144,雨蝶,李翊君,
2026-05-25,國語點播週榜,2026-05-12,2026-05-18,26,↑,30,0,49256,多遠都要在一起,鄧紫棋,
